,Producator procesor,Tip procesor,Model procesor,Arhitectura,Numar nuclee,Frecventa nominala,Cache,Tehnologie procesor,Procesor grafic integrat,Diagonala display,Format display,Tehnologie display,Finisaj display,Rezolutie,Capacitate memorie,Tip memorie,Sloturi ocupate,Frecventa,Tip stocare,Capacitate SSD,Interfata SSD,Tip placa video,Chipset video,Camera WEB,Audio,Porturi,Cititor de carduri,Retea,Wireless,Tastatura numerica,Dimensiuni (W x H x D),Greutate,Securitate,Limba tastatura,Accesorii incluse,Culoare,Caracteristici cheie,Sistem de operare,Product name,New price,Old price,Reviews,Rating,Frecventa Turbo Boost,Unitate optica,Versiune Bluetooth,Platforma producator,Material,Autonomie baterie,Numar sloturi,Memorie integrata,Capacitate memorie maxima suportata,Capacitate HDD/SSHD,Viteza HDD,Tehnologii placa video,Tehnologii audio,Putere difuzoare,Model placa video,Capacitate memorie video,Tip memorie placa video,Producator difuzoare,Rata de refresh,Design,Touchscreen,Luminozitate,3G,4G
634,Intel,i3,6006U,Skylake,2,2000 MHz,3072 KB,,Intel HD Graphics 520,15.6 inch,HD,LED,Anti-Glare,1366 x 768,4 GB,DDR4,1,,HDD,,,Integrata,Intel HD,,Difuzoare stereo,1 x VGA2 x USB 3.01 x USB 2.01 x HDMI1 x RJ-45,SDSDHCSDXC,10/100/1000,802.11 ac,Da,380 x 23.8 x 253.8 mm,1.86 Kg,,Tastatura internationala,,Negru,,Free DOS,"Laptop HP 250 G6 cu procesor Intel Core i3-6006U 2.00 GHz, Skylake, 15.6"", 4GB, 500GB, Intel HD Graphics, Free DOS, Black",1699,2021.81,16,4.31,,Nu,4.2,,,,1,,,500 GB,5400 rpm,,,,,,,,,,Nu,,,
635,Intel,i7,8550U,Kaby Lake R,4,1.8 GHz,9216 KB,14 nm,,15.6 inch,Full HD,LCD,Anti-Glare,1920 x 1080,4 GB,DDR4,1,2133 MHz,HDD,,,Dedicata,nVidia GeForce MX,VGA,Difuzoare stereoMicrofon,1 x VGA2 x USB 3.01 x USB 2.01 x HDMI1 x RJ-451 x USB 3.1 type C1 x Audio Out/Microfon,SDSDHCSDXC,10/100/1000,802.11 ac,Da,380 x 251 x 23.2 mm,2.3 Kg,Kensington Lock,Tastatura internationala,,Silver,Camera web,Endless OS,"Laptop ASUS X542UF-DM167 cu procesor Intel Core i7-8550U pana la 4.00 GHz, Kaby Lake R, 15.6"", Full HD, 4GB, 1TB, DVD-RW, NVIDIA GeForce MX130 2GB, Endless OS, Matt Silver",2899.99,3099.00,3,1.67,4 GHz,Da,4.1,,,,2,,,1 TB,5400 rpm,DirectX 12,ASUS SonicMaster,,MX130,2048 MB,GDDR5,,60 Hz,,,,,
636,Intel,i5,8265U,Whiskey Lake,4,1600 MHz,6144 KB,,,15.6 inch,Full HD,,,1920 x 1080,8 GB,DDR4,1,,SSD,256 GB,,Dedicata,nVidia GeForce MX,VGA,,1 x Jack 3.5 mm,Micro SDSDXC,,,Da,360 x 22.9 x 235 mm,1.9 Kg,Parola BIOSTPM (Firmware TPM),Tastatura internationala,,Gri,Camera web,Free DOS,"Laptop Asus X509FJ-EJ049, Intel Core i5-8265U, 8GB DDR4, SSD 256GB, NVIDIA GeForce MX230 2GB, Free DOS",2699.99,3299.99,Adauga,,3900 MHz,Nu,,,,,1,,,,,,,,MX230,,GDDR5,,,,,,,
637,Intel,i7,8550U,Kaby Lake R,4,1.8 GHz,8192 KB,14 nm,Intel UHD Graphics 620,15.6 inch,Full HD,LCD LED,Anti-Glare,1920 x 1080,,DDR4,1,2400 MHz,SSD,256 GB,,Dedicata,AMD Radeon,HD,Difuzoare stereoMicrofon,2 x USB 3.01 x Audio Out1 x USB 2.01 x HDMI1 x RJ-45,SDSDHCSDXC,10/100,802.11 ac,Da,380 x 260.3 x 23.65 mm,2.13 Kg,Kensington LockParola BIOSParola HDD,Tastatura internationala,Adapter alimentare si cablu alimentare,Negru,Camera web,Windows 10 Home,"Laptop Dell Inspiron 3576 cu procesor Intel Core i7-8550U pana la 4.00 GHz, Kaby Lake R, 15.6"", Full HD, 8GB, 256GB SSD, DVD-RW, AMD Radeon 520 2GB, Microsoft Windows 10, Black",3999.99,3599.99,Adauga,,4 GHz,Da,4.0,Dell Inspiron 3576,,,2,,16 GB,,,DirectX 12,Waves MaxxAudio Pro,4 W,520,2048 MB,GDDR5,,,,,,,
638,Intel,i5,8265U,Whiskey Lake,4,1.6 GHz,6144 KB,14 nm,Intel UHD Graphics 620,15.6 inch,Full HD,LCD LED,Anti-Glare,1920 x 1080,8 GB,DDR4,1,2400 MHz,SSD,256 GB,M.2,Integrata,Intel UHD,HD,Difuzoare stereoMicrofoane duale,2 x USB 2.01 x USB 3.11 x HDMI1 x USB type C1 x Audio Out/Microfon,SD,,802.11 ac 2x2,Da,357 x 18.5 x 230 mm,1.8 Kg,Parola BIOS,Tastatura internationala,Adaptor 45W,Gun Metal,Camera webTastatura iluminataTouchpad care accepta gesturi de atingeri multipleTastatura Chiclet,Free DOS,"Laptop ASUS S531FA cu procesor Intel Core i5-8265U pana la 3.9 GHz, 15.6"", Full HD, 8GB, 256GB SSD M.2, Intel UHD Graphics 620, Free DOS, Gun Metal",3399.98,2949.99,Adauga,,3.9 GHz,,4.2,,,,,4096 MB,12 GB,,,DirectX 12,ICEpowerHarman Kardon,,,,,Harman Kardon,,,,,,
639,Intel,i7,8565U,Whiskey Lake,4,1800 MHz,8192 KB,,,14 inch,Full HD,,,1920 x 1080,8 GB,DDR4,1,,SSD,512 GB,M.2,Integrata,nVidia GeForce MX,HD,Difuzoare stereo,1 x Jack 3.5 mm,SDSDHCSDXCMMC,,,Nu,322.7 x 17.9 x 230.5 mm,1.6 Kg,TPM 2.0 (Firmware TPM),Tastatura internationala,,Albastru,,Free DOS,"Laptop Lenovo IdeaPad S340-14IWL, Intel Core i7-8565U, 8GB DDR4, SSD 512GB, Intel UHD Graphics, Free DOS",3099.99,3699.99,Adauga,,4600 MHz,Nu,4.2,,,8 h,1,,,,,,Dolby Audio Premium,4 W,MX250,,GDDR4,,,,,,,
640,Intel,i7,8565U,Whiskey Lake,4,1800 MHz,8192 KB,,,15.6 inch,Full HD,,,1920 x 1080,8 GB,DDR4,1,,HDD,,,Dedicata,nVidia GeForce MX,VGA,,1 x Jack 3.5 mm,Micro SDSDXC,,,Da,360 x 22.9 x 235 mm,1.9 Kg,Parola BIOSTPM (Firmware TPM),Tastatura internationala,,Gri,,Endless OS,"Laptop Asus X509FJ-EJ023, Intel Core I7-8565U, 8GB DDR4, HDD 1TB, NVIDIA GeForce MX230 2GB, Endless OS",3149.99,3799.99,1,1.00,4600 MHz,Nu,,,,,1,,,1 TB,5400 rpm,,,,MX230,,GDDR5,,,,,,,
641,Intel,i5,8250U,Kaby Lake R,4,1.6 GHz,6144 KB,14 nm,Intel UHD Graphics 620,15.6 inch,Full HD,LCD LED,Anti-Glare,1920 x 1080,8 GB,DDR4,1,2400 MHz,HDD + SSD,256 GB,,Integrata,Intel HD,HD,Difuzoare stereoMicrofon,1 x VGA2 x USB 3.01 x USB 2.01 x HDMI1 x RJ-451 x USB 3.1 type C1 x Audio Out/Microfon,SDSDHCSDXC,10/100/1000,802.11 ac 2x2,Da,376 x 264.1 x 20.8 mm,2.15 Kg,Cititor de amprentaParola BIOSParola HDDTPM 2.0 (Trusted Platform Module),Tastatura internationala,,Argintiu,Camera webTastatura iluminataTastatura antistropi,Windows 10 Pro,"Laptop HP ProBook 450 G5 cu procesor Intel Core i5-8250U pana la 3.40 GHz, Kaby Lake R, 15.6"", Full HD, 8GB, 1TB + 256GB SSD, Microsoft Windows 10 Pro, Silver",3843.7,5948.81,2,4.50,3.4 GHz,Nu,4.2,,Aluminiu,14.5 h,2,,32 GB,1 TB,5400 rpm,,,,,,,,,,,,,
642,Intel,i5,,,4,2300 MHz,,,Intel Iris Plus Graphics 655,13 inch,,LEDIPSRetina,,2560 x 1600,8 GB,,,2133 MHz,SSD,512 GB,,Integrata,Intel Iris,HD,Difuzoare stereoMicrofon,4 x Thunderbolt v3,,,802.11 ac,,30.41 x 1.49 x 21.24 cm,1.37 Kg,Touch ID,Tastatura RO,,Gri,Camera webTouch BarTouch ID,Mac OS,"Laptop Apple MacBook Pro 13, ecran Retina, Touch Bar, procesor Intel Core i5 2.30 GHz, 8GB, 512GB SSD, Intel Iris Plus Graphics 655, macOS High Sierra, ROM KB, Space Grey",11297.86,11296.85,3,4.33,3800 MHz,,5.0,Apple MacBook Pro 13,,10 h,,,,,,,,,,,,,,,,500 niti,,
643,Intel,i7,9750H,Coffee Lake,6,2.6 GHz,12288 KB,14 nm,Intel UHD Graphics 630,15.6 inch,Full HD,LED,Anti-Glare,1920 x 1080,16 GB,DDR4,2,2666 MHz,HDD + SSD,256 GB,PCI Express,Dedicata,nVidia GeForce GTX,HD,Difuzoare stereoMicrofon,2 x USB 2.01 x USB 3.11 x HDMI1 x RJ-451 x USB type C1 x Audio Out/Microfon,SD,,802.11 ac,Da,365.5 x 21.6 x 254 mm,,Cititor de amprenta,Tastatura internationala,Adaptor 130W,Negru,Touchpad care accepta gesturi de atingeri multipleTastatura Chiclet,Windows 10 Home,"Laptop gaming Dell Inspiron G3 3590 cu procesor Intel Core i7-9750H pana la 4.50 GHz Coffee Lake, 15.6"", Full HD, 16GB, 256GB SSD + 1TB HDD, NVIDIA GeForce GTX 1650 4GB, Windows 10, Black",5999.99,6499.99,Adauga,,4.5 GHz,Nu,,Dell G3 3590,,,2,,,1 TB,5400 rpm,DirectX 12GeForce Experience,,,GTX 1650,4096 MB,GDDR5,,,,Nu,,Nu,Nu
644,Intel,i7,9750H,Coffee Lake,6,2.6 GHz,12288 KB,14 nm,Intel UHD Graphics 630,15.6 inch,Full HD,IPSWLED,Anti-Glare,1920 x 1080,16 GB,DDR4,2,2666 MHz,SSD,512 GB,M.2,Dedicata,nVidia GeForce RTX,HD,Difuzoare stereoMicrofoane duale,1 x Microfon1 x Mini DisplayPort1 x HDMI1 x RJ-453 x USB 3.11 x Audio Out/Microfon1 x USB 3.1 type C Gen 2,SD,10/100/1000,802.11 b/g/n/ac 2x2,,360 x 20.4 x 260 mm,2.32 Kg,,Tastatura internationala,Adaptor 200W,Negru,Camera webTastatura iluminataTouchpad care accepta gesturi de atingeri multipleTastatura Chiclet,Free DOS,"Laptop Gaming OMEN by HP 15-dh0001nq cu procesor Intel Core i7-9750H pana la 4.50 GHz Coffee Lake, 15.6"", Full HD, IPS, 16GB, 512GB SSD, Nvidia GeForce RTX 2060 6GB, Free DOS, Shadow Black",7499.99,8499.99,Adauga,,4.5 GHz,Nu,5.0,OMEN by HP,,4 h,,,,,,nVidia G-SyncnVidia CUDAnVidia SurroundnVidia AnselnVidia GameStreamnVidia 3D VisionnVidia PhysXnVidia Adaptive V-SyncnVidia FastSyncnVidia Simultaneous Multi-Projection,B&O PLAYHP Audio BoostDTS HEADPHONE:X,,RTX 2060,6144 MB,GDDR6,Bang & Olufsen,,,,,,
645,Intel,i5,8250U,Kaby Lake R,4,1600 MHz,6144 KB,14 nm,Intel UHD Graphics 620,15.6 inch,Full HD,LCD LED,Anti-Glare,1920 x 1080,8 GB,DDR4,1,2400 MHz,SSD,256 GB,,Dedicata,AMD Radeon,HD,Difuzoare stereoMicrofon,2 x USB 3.01 x Audio Out1 x USB 2.01 x HDMI1 x RJ-45,SD,10/100,802.11 ac,Da,380 x 23.65 x 260.3 mm,2.3 Kg,Parola BIOSParola HDDSecurity lock,Tastatura internationala,,Negru,TouchPad cu suport pentru gesturi multi atingereCamera web,Linux,"Laptop Dell Inspiron 3576 cu procesor Intel Core i5-8250U pana la 3.40 GHz, 15.6"", Full HD, 8GB, 256GB SSD, AMD Radeon 520 2GB, Linux, Black",2975,3273.69,8,4.13,3400 MHz,Da,4.0,Dell Inspiron 3576,,,2,,,,,,Waves MaxxAudio Pro,,520,2048 MB,GDDR5,,,,,,,
646,Intel,i3,7020U,Kaby Lake,2,2.3 GHz,3072 KB,14 nm,Intel HD Graphics 620,14 inch,Full HD,IPS,Anti-Glare,1920 x 1080,8 GB,DDR4,1,2133 MHz,SSD,512 GB,,Integrata,Intel HD,HD,Difuzoare stereoMicrofoane duale,2 x USB 3.01 x HDMI1 x USB 3.1 type C1 x Audio Out/Microfon,SDSDHCSDXCMMC,,802.11 ac,Nu,323.1 x 18.95 x 234.8 mm,1.67 Kg,Parola BIOSParola HDDSecurity lockTPM 2.0 (Trusted Platform Module),Tastatura internationala,Adaptor 65W,Albastru,Camera webTastatura iluminataTouchpad care accepta gesturi de atingeri multiple,,"Laptop ultraportabil Lenovo IdeaPad 330S-14IKB cu procesor Intel Core i3-7020U 2.30 GHz, Kaby Lake, 14"", Full HD, IPS, 8GB, 512GB SSD, Intel HD Graphics 620, Free DOS, Mid Night Blue",2299.99,2699.99,Adauga,,,Nu,4.1,IdeaPad 330S Series,Aluminiu,9 h,1,4096 MB,12 GB,,,DirectX 12,Dolby Audio,4 W,,,,,,,Nu,,,
647,Intel,i5,8265U,Whiskey Lake,4,1.6 GHz,6144 KB,14 nm,Intel UHD Graphics 620,13.3 inch,Full HD,IPSWLED,Glossy,1920 x 1080,8 GB,LPDDR3,,2133 MHz,SSD,256 GB,M.2,Integrata,Intel UHD,HD,Patru difuzoareMicrofoane duale,2 x USB 3.11 x USB 3.1 type C1 x Audio Out/Microfon,Micro SDMicro SDHCMicro SDXC,,802.11 b/g/n/ac 2x2,Nu,307 x 14.9 x 212 mm,1.3 Kg,Cititor de amprentaParola BIOSParola HDD,Tastatura internationala,Adaptor 65W,Argintiu,Camera webTastatura iluminataHP Imagepad cu suport pentru gesturi de multi-atingere,Windows 10 Home,"Laptop ultraportabil HP ENVY 13-ah1005nn cu procesor Intel Core i5-8265U pana la 3.90 GHz, Whiskey Lake, 13.3"", Full HD, IPS, 8GB, 256GB SSD, Intel UHD Graphics 620, Microsoft Windows 10, Silver",4499.99,4799.99,Adauga,,3.9 GHz,Nu,5.0,HP ENVY 13,Aluminiu,14 h,,8192 MB,,,,DirectX 12,HP Audio BoostBang & Olufsen,,,,,Bang & Olufsen,,,Nu,,,
648,Intel,i7,i7-8750H,Coffee Lake,6,2.2 GHz,,14 nm,,15.6 inch,Full HD,LED,,1920 x 1080,8 GB,DDR4,2,,SSD,256 GB,SATA,Integrata,Intel UHD,HD,,1 x USB 3.01 x Thunderbolt v31 x Smart card reader1 x HDMI 2.0,,,802.11 ac 2x2,Da,,2.2 Kg,,Tastatura internationala,,Argintiu,Camera web,Windows 10 Pro,"Laptop HP ZBook Studio x360 G5 Convertible, statie grafica mobila, 15,6"" FHD Touchscreen, i7-8750H, 256GB SSD,, 8GB RAM, Windows 10 Pro",8200,None,Adauga,,,Nu,5.0,,,3 h,2,,,,,,,,,,DDR4,,,,Da,,,
649,Intel,i5,7200U,Kaby Lake,2,2.5 GHz,3072 KB,14 nm,Intel HD Graphics 620,15.6 inch,Full HD,TN,Anti-Glare,1920 x 1080,8 GB,DDR4,,2133 MHz,SSD,256 GB,PCI Express,Dedicata,nVidia GeForce MX,,Difuzoare stereoMicrofon,2 x USB 3.01 x Audio Out1 x HDMI1 x USB 3.1 type C,SDXCMMC,10/100/1000,802.11 ac,,378 x 22.9 x 260 mm,2.2 Kg,,Tastatura internationala,,Gri,Camera web,Free DOS,"Laptop Lenovo IdeaPad 330-15IKB cu procesor Intel Core i5-7200U pana la 3.10 GHz, Kaby Lake, 15.6"", Full HD, 8GB, 256GB SSD, DVD-RW, NVIDIA GeForce MX130 2GB, Free DOS, Platinum Grey",2975,3340.00,2,5.00,3.1 GHz,Da,4.1,,,6 h,,,,,,,Dobly Audio,,MX130,2048 MB,GDDR5,,,,,,,
650,Intel,i5,8250U,Whiskey Lake,4,1.6 GHz,6144 KB,14 nm,Intel UHD Graphics 620,15.6 inch,Full HD,LCD LED,,1920 x 1080,8 GB,DDR4,2,2133 MHz,SSD,512 GB,,Dedicata,nVidia GeForce RTX,HD,Difuzoare stereo,2 x USB 3.01 x Audio Out1 x USB 3.11 x USB 2.01 x HDMI1 x RJ-45,,10/100/1000,802.11 ac,Da,364.3 x 17.9 x 250.5 mm,1.8 Kg,Parola BIOSParola HDDSecurity lock,Tastatura internationala,,Negru,TouchPad cu suport pentru gesturi multi atingereTastatura iluminata,Linux,"Laptop Acer Aspire 5 A515-54G, Intel Core i5-8265U, 15.6inch, RAM 8GB, SSD 512GB, nVidia GeForce MX250 2GB, Linux, Obsidian Black",3404.64,3099.99,Adauga,,3.9 GHz,Nu,5.0,,PlasticAluminiu,11 h,2,,,,,Suport DirectX 12,,,MX250,2048 MB,GDDR5,,,,,,,
651,Intel,i5,8265U,Whiskey Lake,4,1600 MHz,6144 KB,,,14 inch,Full HD,LED,NanoEdge,1920 x 1080,8 GB,DDR4,1,,SSD,256 GB,PCI Express,Dedicata,nVidia GeForce MX,HD,,1 x Jack 3.5 mm1 x USB 3.11 x USB 2.01 x HDMI1 x USB type C,Micro SD,,802.11 ac 2x2,Da,319 x 15.9 x 199 mm,1.09 Kg,Parola BIOSTPM (Firmware TPM),Tastatura internationala,HusaCablu USB 3.0 - RJ45,Albastru,Camera web,Windows 10 Pro,"Laptop Asus ZenBook 14 UX433FN-A5230R, Intel Core i5-8265U, 8GB DDR4, SSD 256GB, NVIDIA GeForce MX150 2GB, Windows 10 Pro",4599.99,5399.99,Adauga,,3900 MHz,Nu,V5.0,,,14 h,1,,8 GB,,,,,,MX150,2048 MB,GDDR5,,,,,,,
652,Intel,i5,,,2,2300 MHz,,,Intel Iris Plus Graphics 640,13.3 inch,WQXGA,LEDIPSRetina,Glossy,2304 x 1440,8 GB,LPDDR3,,2133 MHz,SSD,256 GB,,Integrata,Intel Iris,HD,Difuzoare stereoMicrofoane duale,1 x Audio Out2 x Thunderbolt v3,,,802.11 ac/a/b/g/n,Nu,304.1 x 3.5 - 14.9 x 212.4 mm,1.37 Kg,,Tastatura internationala,,Argintiu,Tastatura iluminataTrackpad Force Touch,Mac OS,"Laptop Apple MacBook Pro 13 cu procesor Intel Dual Core i5 2.30GHz, 13.3"", Ecran Retina, 8GB, 256GB SSD, Intel Iris Plus Graphics 640, macOS Sierra, INT KB, Silver",8651.3,8651.30,5,4.80,3600 MHz,Nu,4.2,,Aluminiu,10 h,,8192 MB,,,,,,,,,DDR3,,,,,500 niti,,
653,Intel,i7,8565U,Whiskey Lake,4,1800 MHz,8192 KB,,,15.6 inch,Full HD,,,1920 x 1080,8 GB,DDR4,1,,SSD,256 GB,,Integrata,nVidia GeForce MX,VGA,,1 x Jack 3.5 mm,Micro SDSDXC,,,Da,360 x 22.9 x 235 mm,1.9 Kg,Parola BIOSTPM (Firmware TPM),Tastatura internationala,,Gri,,Free DOS,"Laptop Asus X509FJ-EJ050, Intel Core I7-8565U, 8GB DDR4, SSD 256GB, NVIDIA GeForce MX230 2GB, Free DOS",3199.99,3899.99,Adauga,,4600 MHz,Nu,,,,,1,,,,,,,,MX230,,GDDR4,,,,,,,
654,Intel,i7,8565U,Whiskey Lake,4,1.8 GHz,8192 KB,14 nm,Intel UHD Graphics 620,14 inch,Full HD,LCD LED,Anti-Glare,1920 x 1080,8 GB,LPDDR3,,2133 MHz,SSD,256 GB,PCI Express,Dedicata,nVidia GeForce MX,HD,Difuzoare stereoMicrofoane duale,1 x USB 3.11 x USB 2.01 x HDMI1 x Audio Out/Microfon1 x USB 3.1 type C Gen 2,Micro SDMicro SDHCMicro SDXC,,802.11 ac 2x2,Da,319 x 15.9 x 199 mm,1.09 Kg,TPM (Trusted Platform Module)Parola BIOSParola HDD,Tastatura internationala,Adaptor 65WAdaptor USB 3.0 la RJ45Husa slim,Albastru,Tastatura iluminataTouchpad care accepta gesturi de atingeri multipleTastatura ChicletTouchpad cu tastatura numerica integrataCamera web IR / RGB,Windows 10 Home,"Laptop ultraportabil ASUS ZenBook 14 UX433FN cu procesor Intel Core i7-8565U pana la 4.60 GHz, Whiskey Lake, 14"", Full HD, 8GB, 256GB SSD, NVIDIA GeForce MX150 2GB, Microsoft Windows 10, Royal Blue",5799.99,None,Adauga,,4.6 GHz,,5.0,ASUS UX433FN,,,,8192 MB,,,,DirectX 12GeForce Experience,Harman Kardon,,MX150,2048 MB,GDDR5,Harman Kardon,,,,,,
655,Intel,i7,8750H,Coffee Lake,6,2200 MHz,9216 KB,14 nm,Intel UHD Graphics 630,17.3 inch,Full HD,IPS,Matte,1920 x 1080,16 GB,DDR4,2,2666 MHz,SSD,512 GB,M.2,Dedicata,nVidia Quadro,HD,Difuzoare stereo,1 x Card Reader1 x Mini DisplayPort1 x Audio Out1 x HDMI1 x RJ-452 x Thunderbolt v33 x USB 3.11 x Smart card reader,SD,10/100,802.11 ac 2x2,Da,414 x 25 - 29 x 273 mm,3.18 Kg,Noble lock,Tastatura internationala,Adaptor de priza US-RO,Negru,,Windows 10 Pro,"Laptop DELL Precision 7730 FHD IPS, 17.3"" UltraSharp, Intel Core i7-8750H, 16GB DDR4 2666 MHz, 512GB SSD, nVidia Quadro P4200 8GB, Windows 10 Pro, Black",14637,19900.00,Adauga,,4100 MHz,Nu,4.2,,MagneziuFibra de carbon,,2,,,,,,High Definition Audio with Waves MaxxAudio Pro,,P4200,8192 MB,GDDR5,,,,Nu,,,
656,Intel,i5,8265U,Whiskey Lake,4,1.6 GHz,6144 KB,14 nm,Intel UHD Graphics 620,13.3 inch,Full HD,IPS,Anti-Glare,1920 x 1080,8 GB,DDR4,1,2400 MHz,SSD,512 GB,,Integrata,Intel UHD,HD,Difuzoare stereoMicrofoane duale,2 x USB 3.11 x HDMI1 x Mini RJ-451 x USB 3.1 type C1 x Audio Out/Microfon1 x micro Ethernet connector,Micro SDMicro SDHCMicro SDXC,10/100/1000,802.11 ac 2x2,,321.8 x 18.8 x 224.2 mm,1.56 Kg,Cititor de amprentaParola BIOSParola HDDTPM 2.0 (Trusted Platform Module),Tastatura internationala,Adaptor 65W,Negru,Camera webTastatura iluminataTouchpad care accepta gesturi de atingeri multipleMulti-touch Screen 10 puncteTastatura rezistenta la stropireCititor de amprente,Windows 10 Pro,"Laptop 2 in 1 Lenovo ThinkPad L390 Yoga cu procesor Intel Core i5-8265U pana la 3.90 GHz, Whiskey Lake, 13.3"", Full HD, IPS, Touch, 8GB, 512GB SSD, Intel UHD Graphics 620, Microsoft Windows 10 Pro, Black",5999.99,6499.99,Adauga,,3.9 GHz,Nu,5.0,,,12 h,2,,32 GB,,,DirectX 12,Dolby Audio Premium,4 W,,,,,,,Da,,,
657,Intel,i3,8130U,Kaby Lake,2,2.2 GHz,4096 KB,14 nm,Intel UHD Graphics 620,15.6 inch,Full HD,LCD,Anti-Glare,1920 x 1080,4 GB,DDR4,1,2400 MHz,SSD,128 GB,M.2,Integrata,Intel UHD,HD,Difuzoare stereoMicrofon,1 x VGA2 x USB 3.01 x USB 2.01 x HDMI1 x RJ-451 x Audio Out/Microfon,SDSDHCSDXC,10/100/1000,802.11 ac,Da,380 x 260 x 23.65 mm,2.18 Kg,Kensington LockParola BIOSParola HDDTPM 2.0 (Trusted Platform Module),Tastatura internationala,,Negru,Camera webTouchpad care accepta gesturi de atingeri multiple,Ubuntu,"Laptop Dell Vostro 3578 cu procesor Intel Core i3-8130U pana la 3.40 GHz, Kaby Lake, 15.6"", Full HD, 4GB, 128GB SSD, DVD-RW, Intel UHD Graphics 620, Ubuntu, Black",2399.99,2949.99,3,5.00,3.4 GHz,Da,4.2,Dell Vostro 3578,,,2,,16 GB,,,,Waves MaxxAudio,,,,,,,,Nu,,,
658,Intel,i7,7500U,Kaby Lake,2,2700 MHz,4096 KB,14 nm,Intel HD Graphics 620,14 inch,WQHD,IPS,Anti-Glare,2560 x 1440,16 GB,DDR3,,1866 MHz,SSD,1 TB,PCI Express,Integrata,Intel HD,HD,Difuzoare stereoMicrofon,2 x USB 3.01 x HDMI1 x Thunderbolt v31 x USB 3.1 type C,Micro SD,,802.11 ac,Nu,323.5 x 15.95 x 217.1 mm,1.14 Kg,Cititor de amprentaTPM (Trusted Platform Module)Parola BIOSParola HDDSecurity lock,Tastatura UK,,Negru,LED-backlitTouchpad care accepta gesturi de atingeri multiple,Windows 10 Pro,"Laptop ultraportabil Lenovo New ThinkPad X1 Carbon 5th gen cu procesor Intel Core i7-7500U pana la 3.50 GHz, Kaby Lake, 14, WQHD, IPS, 16GB, 1TB SSD, Intel HD Graphics 620, 4G LTE, Microsoft Windows 10 Pro, Black",9999.99,13699.99,Adauga,,3500 MHz,Nu,4.1,ThinkPad X1 Carbon,AluminiuMagneziu,,,,,,,,Conexant CX11871,,,,,,,,,,Da,Da
659,Intel,i7,8750H,Coffee Lake,6,2.2 GHz,9216 KB,14 nm,Intel UHD Graphics 630,17.3 inch,Full HD,IPS,Anti-Glare,1920 x 1080,16 GB,DDR4,2,2666 MHz,HDD + SSD,,,Dedicata,nVidia GeForce GTX,HD,Difuzoare stereoMicrofon,2 x USB 3.01 x USB 2.01 x RJ-451 x USB 3.1 type C1 x Audio Out/Microfon,SDSDHCSDXC,10/100/1000,802.11 ac,Da,415.4 x 279.2 x 25 mm,3.27 Kg,Parola BIOSParola HDDNoble lock,Tastatura internationala,,Negru,Camera webTouchpad care accepta gesturi de atingeri multipleDual Cooling Fans,,"Laptop gaming Dell Inspiron G3 3779 cu procesor Intel Core i7 8750H pana la 4.10 GHz, 16GB, 128GB SSD + 1TB HDD, NVIDIA GTX 1050 Ti 4G, Linux, Black",4999.99,5999.99,1,5.00,4.1 GHz,Nu,4.1,Dell Inspiron G3 3779,,,2,,32 GB,,5400 rpm,DirectX 12Max-Q DesignGeForce Experience,Waves MaxxAudio Pro,,GTX 1050 Ti,4096 MB,GDDR5,,,,Nu,,,
660,Intel,i5,,,2,1.6 GHz,4096 KB,14 nm,,13.3 inch,WQXGA,LEDIPSRetina,Glossy,2560 x 1600,8 GB,LPDDR3,,2133 MHz,SSD,128 GB,PCI Express,Integrata,Intel UHD,HD,Difuzoare stereoTrei microfoane,2 x Thunderbolt v31 x Audio Out/Microfon,,,802.11 ac,,304.1 x 212.4 x 15.6 mm,1.25 Kg,TouchID,Tastatura internationala,,Argintiu,Tastatura iluminataTouchpad care accepta gesturi de atingeri multipleSenzor lumina ambientalaCititor de amprente,Mac OS,"Laptop Apple MacBook Air 13, ecran Retina, procesor Intel Core i5 1.60 GHz, 8GB RAM, 128GB SSD, Intel UHD Graphics 617, macOS, INT KB, Silver",6627.11,5799.99,6,4.83,3.6 GHz,,4.2,Apple MacBook Air 13,Aluminiu,13 h,,8192 MB,16 GB,,,,,,,,,,,,,,,
661,Intel,i5,8250U,Kaby Lake R,4,1600 MHz,6144 KB,14 nm,Intel UHD Graphics 620,15.6 inch,Full HD,LCD,Anti-Glare,1920 x 1080,8 GB,DDR4,1,2133 MHz,HDD,,,Integrata,Intel UHD,VGA,Difuzoare stereoMicrofon,1 x VGA2 x USB 3.01 x Audio Out1 x USB 2.01 x HDMI1 x RJ-451 x USB 3.1 type C,SDSDHCSDXC,10/100/1000,802.11 ac,Da,380 x 23.2 x 251 mm,2.3 Kg,Kensington LockParola BIOSParola HDD,Tastatura internationala,,Gri,Camera webTouchpad care accepta gesturi de atingeri multiple,Endless OS,"Laptop ASUS VivoBook 15 X542UA cu procesor Intel Core i5-8250U pana la 3.40 GHz, Kaby Lake R, 15.6"", Full HD, 8GB, 1TB, Intel UHD Graphics 620, Endless OS, Grey",2399.99,2699.99,6,3.50,3400 MHz,Da,4.1,,Plastic,,2,,16 GB,1 TB,5400 rpm,,SonicMaster,,,,,,60 Hz,,,,,
